run,bot,hp,win
0,RandomBot,56,True
1,RandomBot,67,True
2,RandomBot,74,True
3,RandomBot,38,True
4,RandomBot,2,True
5,RandomBot,53,True
6,RandomBot,69,True
7,RandomBot,43,True
8,RandomBot,46,True
9,RandomBot,57,True
10,RandomBot,58,True
11,RandomBot,69,True
12,RandomBot,56,True
13,RandomBot,51,True
14,RandomBot,36,True
15,RandomBot,15,True
16,RandomBot,0,False
17,RandomBot,26,True
18,RandomBot,43,True
19,RandomBot,69,True
20,RandomBot,16,True
21,RandomBot,58,True
22,RandomBot,0,False
23,RandomBot,47,True
24,RandomBot,0,False
25,RandomBot,19,True
26,RandomBot,30,True
27,RandomBot,57,True
28,RandomBot,49,True
29,RandomBot,0,False
30,RandomBot,52,True
31,RandomBot,0,False
32,RandomBot,43,True
33,RandomBot,57,True
34,RandomBot,35,True
35,RandomBot,0,False
36,RandomBot,53,True
37,RandomBot,0,False
38,RandomBot,55,True
39,RandomBot,64,True
40,RandomBot,74,True
41,RandomBot,63,True
42,RandomBot,46,True
43,RandomBot,0,False
44,RandomBot,62,True
45,RandomBot,59,True
46,RandomBot,74,True
47,RandomBot,52,True
48,RandomBot,33,True
49,RandomBot,0,False
50,RandomBot,0,False
51,RandomBot,60,True
52,RandomBot,50,True
53,RandomBot,56,True
54,RandomBot,0,False
55,RandomBot,0,False
56,RandomBot,22,True
57,RandomBot,30,True
58,RandomBot,58,True
59,RandomBot,40,True
60,RandomBot,47,True
61,RandomBot,38,True
62,RandomBot,39,True
63,RandomBot,21,True
64,RandomBot,37,True
65,RandomBot,32,True
66,RandomBot,38,True
67,RandomBot,21,True
68,RandomBot,23,True
69,RandomBot,36,True
70,RandomBot,27,True
71,RandomBot,59,True
72,RandomBot,51,True
73,RandomBot,48,True
74,RandomBot,41,True
75,RandomBot,42,True
76,RandomBot,49,True
77,RandomBot,61,True
78,RandomBot,49,True
79,RandomBot,0,False
80,RandomBot,5,True
81,RandomBot,46,True
82,RandomBot,24,True
83,RandomBot,51,True
84,RandomBot,29,True
85,RandomBot,42,True
86,RandomBot,43,True
87,RandomBot,61,True
88,RandomBot,0,False
89,RandomBot,16,True
90,RandomBot,60,True
91,RandomBot,42,True
92,RandomBot,51,True
93,RandomBot,37,True
94,RandomBot,24,True
95,RandomBot,69,True
96,RandomBot,17,True
97,RandomBot,0,False
98,RandomBot,70,True
99,RandomBot,56,True
