run,bot,hp,win
0,RandomBot,47,True
1,RandomBot,32,True
2,RandomBot,70,True
3,RandomBot,47,True
4,RandomBot,65,True
5,RandomBot,45,True
6,RandomBot,58,True
7,RandomBot,0,False
8,RandomBot,0,False
9,RandomBot,66,True
10,RandomBot,0,False
11,RandomBot,10,True
12,RandomBot,30,True
13,RandomBot,32,True
14,RandomBot,42,True
15,RandomBot,70,True
16,RandomBot,60,True
17,RandomBot,60,True
18,RandomBot,39,True
19,RandomBot,52,True
20,RandomBot,39,True
21,RandomBot,39,True
22,RandomBot,22,True
23,RandomBot,34,True
24,RandomBot,35,True
25,RandomBot,31,True
26,RandomBot,52,True
27,RandomBot,23,True
28,RandomBot,21,True
29,RandomBot,60,True
30,RandomBot,56,True
31,RandomBot,42,True
32,RandomBot,53,True
33,RandomBot,24,True
34,RandomBot,51,True
35,RandomBot,55,True
36,RandomBot,59,True
37,RandomBot,57,True
38,RandomBot,20,True
39,RandomBot,34,True
40,RandomBot,29,True
41,RandomBot,47,True
42,RandomBot,27,True
43,RandomBot,65,True
44,RandomBot,56,True
45,RandomBot,20,True
46,RandomBot,61,True
47,RandomBot,53,True
48,RandomBot,36,True
49,RandomBot,41,True
50,RandomBot,31,True
51,RandomBot,45,True
52,RandomBot,35,True
53,RandomBot,55,True
54,RandomBot,59,True
55,RandomBot,54,True
56,RandomBot,40,True
57,RandomBot,47,True
58,RandomBot,69,True
59,RandomBot,0,False
60,RandomBot,0,False
61,RandomBot,47,True
62,RandomBot,44,True
63,RandomBot,0,False
64,RandomBot,23,True
65,RandomBot,59,True
66,RandomBot,50,True
67,RandomBot,35,True
68,RandomBot,59,True
69,RandomBot,52,True
70,RandomBot,29,True
71,RandomBot,60,True
72,RandomBot,53,True
73,RandomBot,29,True
74,RandomBot,8,True
75,RandomBot,48,True
76,RandomBot,55,True
77,RandomBot,20,True
78,RandomBot,33,True
79,RandomBot,39,True
80,RandomBot,52,True
81,RandomBot,0,False
82,RandomBot,29,True
83,RandomBot,50,True
84,RandomBot,0,False
85,RandomBot,61,True
86,RandomBot,29,True
87,RandomBot,31,True
88,RandomBot,0,False
89,RandomBot,48,True
90,RandomBot,45,True
91,RandomBot,0,False
92,RandomBot,44,True
93,RandomBot,23,True
94,RandomBot,19,True
95,RandomBot,36,True
96,RandomBot,65,True
97,RandomBot,61,True
98,RandomBot,28,True
99,RandomBot,67,True
100,RandomBot,51,True
101,RandomBot,64,True
102,RandomBot,47,True
103,RandomBot,0,False
104,RandomBot,37,True
105,RandomBot,3,True
106,RandomBot,38,True
107,RandomBot,47,True
108,RandomBot,56,True
109,RandomBot,47,True
110,RandomBot,50,True
111,RandomBot,42,True
112,RandomBot,60,True
113,RandomBot,29,True
114,RandomBot,27,True
115,RandomBot,13,True
116,RandomBot,33,True
117,RandomBot,30,True
118,RandomBot,59,True
119,RandomBot,51,True
120,RandomBot,47,True
121,RandomBot,53,True
122,RandomBot,38,True
123,RandomBot,0,False
124,RandomBot,52,True
125,RandomBot,60,True
126,RandomBot,31,True
127,RandomBot,57,True
128,RandomBot,74,True
129,RandomBot,36,True
130,RandomBot,49,True
131,RandomBot,40,True
132,RandomBot,0,False
133,RandomBot,2,True
134,RandomBot,43,True
135,RandomBot,69,True
136,RandomBot,62,True
137,RandomBot,1,True
138,RandomBot,35,True
139,RandomBot,23,True
140,RandomBot,59,True
141,RandomBot,26,True
142,RandomBot,36,True
143,RandomBot,0,False
144,RandomBot,60,True
145,RandomBot,43,True
146,RandomBot,45,True
147,RandomBot,0,False
148,RandomBot,0,False
149,RandomBot,70,True
150,RandomBot,37,True
151,RandomBot,0,False
152,RandomBot,65,True
153,RandomBot,36,True
154,RandomBot,43,True
155,RandomBot,39,True
156,RandomBot,74,True
157,RandomBot,41,True
158,RandomBot,42,True
159,RandomBot,60,True
160,RandomBot,38,True
161,RandomBot,0,False
162,RandomBot,0,False
163,RandomBot,42,True
164,RandomBot,0,False
165,RandomBot,46,True
166,RandomBot,0,False
167,RandomBot,12,True
168,RandomBot,50,True
169,RandomBot,31,True
170,RandomBot,65,True
171,RandomBot,48,True
172,RandomBot,22,True
173,RandomBot,32,True
174,RandomBot,43,True
175,RandomBot,21,True
176,RandomBot,0,False
177,RandomBot,64,True
178,RandomBot,19,True
179,RandomBot,59,True
180,RandomBot,52,True
181,RandomBot,3,True
182,RandomBot,0,False
183,RandomBot,7,True
184,RandomBot,45,True
185,RandomBot,64,True
186,RandomBot,56,True
187,RandomBot,58,True
188,RandomBot,65,True
189,RandomBot,38,True
190,RandomBot,67,True
191,RandomBot,59,True
192,RandomBot,28,True
193,RandomBot,0,False
194,RandomBot,55,True
195,RandomBot,30,True
196,RandomBot,3,True
197,RandomBot,28,True
198,RandomBot,19,True
199,RandomBot,65,True
200,RandomBot,0,False
201,RandomBot,0,False
202,RandomBot,57,True
203,RandomBot,40,True
204,RandomBot,50,True
205,RandomBot,69,True
206,RandomBot,0,False
207,RandomBot,32,True
208,RandomBot,42,True
209,RandomBot,55,True
210,RandomBot,24,True
211,RandomBot,57,True
212,RandomBot,34,True
213,RandomBot,57,True
214,RandomBot,65,True
215,RandomBot,38,True
216,RandomBot,0,False
217,RandomBot,65,True
218,RandomBot,15,True
219,RandomBot,52,True
